,string_text
462,"12/1/20 12:55 PM+2REPLY
"
463,"12/1/20 1:04 PM0REPLY
"
464,"12/1/20 11:55 AM+3REPLY
"
465,"12/1/20 12:55 PM+2REPLY
"
466,"12/1/20 12:21 PM+2REPLY
"
467,"12/1/20 12:56 PM+2REPLY
"
468,"12/1/20 1:05 PM+2REPLY
"
469,"12/1/20 1:15 PM0REPLY
"
470,"1. Xibalba
"
471,"2. Sivyj Yar
"
472,"3. Ulcerate
"
473,"4. Afterbirth
"
474,"5. Ulthar
"
475,"6. The Ocean
"
476,"7. Molassess
"
477,"8. Atramentus
"
478,"9. Bedsore
"
479,"10. Sweven
"
480,"11. Turia
"
481,"12. MSW
"
482,"13. Chrome Ghost
"
483,"14. Intronaut
"
484,"15. Eternal Champion
"
485,"16. Thou & ERR
"
486,"17. The Acacia Strain - It Comes In Waves
"
487,"18. The Acacia Strain - Slow Decay
"
488,"19. Defeated Sanity
"
489,"20. Spirit Adrift
"
490,"12/1/20 10:24 AM+5REPLY
"
491,"12/1/20 10:46 AM+2REPLY
"
492,"12/1/20 10:56 AM+2REPLY
"
493,"12/1/20 11:28 AM+1REPLY
"
494,"12/1/20 11:26 AM+5REPLY
"
495,"1. Fiona Apple – Fetch the Bolt Cutters
"
496,"2. The Killers – Imploding the Mirage
"
497,"3. Waxahatchee – Saint Cloud
"
498,"4. Haim – Women in Music Pt. III
"
499,"5. Bonny Light Horseman – Bonny Light Horseman
"
500,"6. Lianne La Havas – Lianne La Havas
"
501,"7. Run the Jewels – RTJ4
"
502,"8. This is the Kit – Off Off On
"
503,"9. Courtney Marie Andrews – Old Flowers
"
504,"10. Fleet Foxes - Shore
"
505,"11. Kevin Morby – Sundowner
"
506,"12. Adrianne Lenker – songs
"
507,"13. Moses Sumney – grae
"
508,"14. Phoebe Bridgers – Punisher
"
509,"15. Laura Marling – Song For Our Daughter
"
510,"16. Nicole Atkins – Italian Ice
"
511,"17. Taylor Swift – folklore
"
512,"18. Chris Stapleton – Starting Over
"
513,"19. Nathaniel Rateliff – And It’s Still Alright
"
514,"20. Son Little - aloha
"
515,"12/1/20 10:25 AM+8REPLY
"
516,"12/1/20 11:12 AM+1REPLY
"
517,"12/1/20 12:25 PM+1REPLY
"
518,"12/1/20 12:32 PM+1REPLY
"
519,"12/1/20 11:24 AM+1REPLY
"
520,"12/1/20 12:24 PM0REPLY
"
521,"12/1/20 12:56 PM+1REPLY
"
522,"1. NNAMDI - BRAT
"
523,"2. Yves Tumor - Heaven To A Tortured Mind
"
524,"3. Joshua Virtue - Jackie's House
"
525,"4. Freddie Gibbs + The Alchemist - Alfredo
"
526,"5. Beach Bunny - Honeymoon
"
527,"6. Ohmme - Fantasize Your Ghost
"
528,"7. Naeem - Startisha
"
529,"8. Deeper - Auto-Pain
"
530,"9. Sen Morimoto - Sen Morimoto
"
531,"10. King Von - Welcome To O Block
"
532,"11. Thundercat - It Is What It Is
"
533,"12. Ratboys - Printer's Devil
"
534,"13. Serengeti - Ajai
"
535,"14. Roy Kinsey - KINSEY: A Memoir
"
536,"15. The Twilite Tone - The Clearing
"
537,"16. Rich Jones and Montana Macks - How do you sleep at night?
"
538,"17. Bartees Strange - Live Forever
"
539,"18. Jessie Ware - What's Your Pleasure
"
540,"19. keiyaA - Forever, Ya Girl
"
541,"20. Fat Tony - Exotica
"
542,"21. Dogleg - Melee
"
543,"22. Ka - Descendants of Cain
"
544,"23. ONO - Red Summer
"
545,"24. Ric Wilson + Terrace Martin - They Call Me Disco
"
546,"25. The Weeknd - After Hours
"
547,"12/1/20 10:26 AM+9REPLY
"
548,"12/1/20 11:39 AM+2REPLY
"
549,"12/1/20 11:44 AM+3REPLY
"
550,"12/1/20 12:03 PM+2REPLY
"
551,"12/1/20 12:39 PM+2REPLY
"
552,"12/1/20 10:26 AM+10REPLY
"
553,"12/1/20 11:05 AM+3REPLY
"
554,"12/1/20 1:30 PM0REPLY
"
555,"12/1/20 10:27 AM+4REPLY
"
556,"1. Mare Cognitun & Spectral Lore - Wanderers: Astrology Of the Nine
"
557,"2. Thou & Emma Ruth Rundle - May Our Chambers Be Full
"
558,"3. Black Curse - Endless Wound
"
559,"4. Nap Eyes - Snapshot Of a Beginner
"
560,"5. Porridge Radio - Every Bad
"
561,"6. Pantha du Prince - Conference Of Trees
"
562,"7. Fluisteraars - Bloem
"
563,"8. Eternal Champion - Ravening Iron
"
564,"9. Couch Slut - Take A Chance On Rock N' Roll
"
565,"10. Woods - Strange To Explain
"
566,"11. Moodyman - Taken Away
"
567,"12. Sweven - The Eternal Resonance
"
568,"13. Wake - Devouring Ruin
"
569,"14. REZN - Chaotic Divine
"
570,"15. Spirit Adrift - Enlightened In Eternity
"
571,"16. My Morning Jacket - The Waterfall II
"
572,"17. Jason Isbell & The 400 Unit - Reunions
"
573,"18. Midwife - Forever
"
574,"19. Bedsore - Hypnagogic Hallucinations
"
575,"20. Hum - Inlet
"
576,"12/1/20 10:29 AM+16REPLY
"
577,"12/1/20 10:33 AM+3REPLY
"
578,"12/1/20 10:36 AM+6REPLY
"
579,"12/1/20 11:11 AM+4REPLY
"
580,"12/1/20 11:40 AM0REPLY
"
581,"12/1/20 11:18 AM+2REPLY
"
582,"12/1/20 11:41 AM+1REPLY
"
583,"12/1/20 11:28 AM+1REPLY
"
584,"12/1/20 11:42 AM0REPLY
"
585,"12/1/20 1:09 PM0REPLY
"
586,"12/1/20 12:11 PM+3REPLY
"
587,"12/1/20 12:36 PM+1REPLY
"
588,"12/1/20 1:06 PM+2REPLY
"
589,"12/1/20 1:20 PM+1REPLY
"
590,"12/1/20 2:44 PM+1REPLY
"
591,"12/1/20 2:57 PM0REPLY
"
592,"12/1/20 10:30 AM+4REPLY
"
